,Cost Center,Employee ID,Payroll Code,Hiring Period,FT-PT Status
0,BJZ,T011811,BTW,JUN,FT
1,QCU,S533651,ADM,DEC,FT
2,AOO,Z645410,BTW,DEC,FT
3,CLD,Z884043,ATW,JAN,PT
4,CLD,S205650,ATW,JUL,FT
5,ESO,M595048,ATW,DEC,FT
6,AOO,F834522,ATW,MAR,PT
7,ULO,P561472,ATW,APR,PT
8,ESX,I591296,ATW,JUN,PT
9,ULO,O289837,BTW,SEP,PT
10,ACJ,Q764361,BTW,OCT,PT
11,OZG,K427559,ADM,AUG,PT
12,ESX,W558211,ATW,OCT,PT
13,AHS,Q649904,ATW,DEC,PT
14,OZG,E406242,ATW,JUN,FT
15,DOI,P494743,BTW,MAY,PT
16,AHS,U653333,ATW,JAN,FT
17,AOO,R063007,ATW,SEP,PT
18,ESX,Y992630,ATW,NOV,PT
19,OZG,G341586,ATW,AUG,PT
20,ACJ,S962122,ATW,AUG,PT
21,QCU,C085747,BTW,OCT,PT
22,NLG,W024475,BTW,APR,PT
23,DHU,A534169,BTW,APR,FT
24,ESX,X740425,ADM,OCT,PT
25,QCU,Y096246,ADM,OCT,FT
26,CLD,B753848,BTW,SEP,FT
27,OZG,G304407,ADM,DEC,PT
28,ULO,Z659743,ATW,AUG,FT
29,GDP,V398077,BTW,APR,PT
30,ULO,V071445,ATW,MAR,PT
31,DHU,N567780,ATW,FEB,PT
32,NLG,U805973,BTW,JUL,PT
33,ESX,P875911,ADM,NOV,FT
34,ESO,K361895,BTW,OCT,PT
35,ACJ,C306109,ADM,JUN,PT
36,DHU,C200012,ATW,AUG,PT
37,ACJ,N678659,ATW,DEC,PT
38,DHU,L268208,ATW,OCT,PT
39,AHS,D123001,ATW,JAN,FT
40,BJZ,L162499,ATW,FEB,PT
41,LNX,F143249,BTW,MAR,PT
42,DHU,C308599,BTW,FEB,PT
43,GDP,B233550,ADM,MAY,PT
44,DOI,N252089,ATW,MAY,PT
45,DOI,O832648,BTW,OCT,FT
46,DOI,S724074,BTW,FEB,PT
47,ESX,Z834777,ADM,OCT,PT
48,AOO,Q097747,ATW,JAN,PT
49,DOI,E092605,ATW,JUL,PT
50,ESO,Z542528,BTW,JUL,FT
51,NLG,H985774,ADM,NOV,PT
52,YTE,O904651,BTW,JAN,PT
53,LNX,Q544195,ATW,DEC,PT
54,NLG,K604339,BTW,MAY,PT
55,AHS,R012878,ATW,JAN,PT
56,OZG,U241028,BTW,MAR,PT
57,BJZ,Z224715,BTW,DEC,FT
58,ESX,R165318,ADM,NOV,FT
59,QCU,A867656,ATW,SEP,FT
60,OZG,Q814637,ATW,AUG,FT
61,ACJ,Y823482,BTW,FEB,PT
62,AOO,W915208,BTW,SEP,FT
63,ESX,H793152,ATW,APR,PT
64,NLG,C600899,ADM,AUG,PT
65,QCU,C663485,BTW,JUL,PT
66,AHS,W626110,BTW,NOV,FT
67,BJZ,H248084,BTW,JUN,PT
68,YTE,D895118,ATW,DEC,FT
69,AHS,N833383,ATW,FEB,PT
